Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
464,Kadeem Allen,27,NYK,117,2.955751024,1.7,6.3,3.9,2,1.4,27,20.6,0.141,0.512,2.8,-6.3,-0.1,0.1,-1.6,-0.2,1.4,SG
465,Admiral Schofield,22,WAS,368,4.304032454,2,12,6.8,1,0.9,5.3,11.9,0.066,0.502,2.2,-5,-0.3,0.8,-1.8,-1.5,1.4,SF
466,Paul Watson,25,TOR,70,2.057108014,3.1,19.5,11.5,2,1.2,10.3,15.9,0.116,0.675,6.4,-1.5,0,0.1,5.1,0.7,1.4,SF
467,Bruno Caboclo,24,HOU,52,2.220579505,12.6,20.6,16.7,4.7,8.2,5.9,22.8,0.209,0.618,9.9,4,0.1,0.1,2.1,0.3,1.3,C
468,Chris Chiozza,24,WAS,123,3.428823529,0,13.5,6.5,3.8,1.4,29.2,14.5,0.209,0.397,2.8,-4.4,-0.1,0.3,-3.1,-0.8,1.3,PG
469,Jaylen Hoard,20,POR,103,2.501641569,14.9,19.1,17,2.4,0,5.3,17.2,0.096,0.504,2.7,-2.7,0,0.2,0,0,1.3,SF
470,Juwan Morgan,22,UTA,134,2.045717579,8,14.8,11.5,0.4,1.3,6.2,11,0.178,0.648,3,-4.1,-0.1,0.4,1.6,0.6,1.3,PF
471,Jaylen Nowell,20,MIN,151,2.758404762,2,7.2,4.5,0.9,0.6,17.8,17.3,0.047,0.471,1.5,-7.2,-0.2,0.1,-1.6,-0.2,1.3,SG
472,Iman Shumpert,29,BRK,241,3.66140966,4.4,10.8,7.8,2.7,0.8,6.7,13.4,0.13,0.403,3.3,-1,0.1,0.3,-3.2,-1,1.3,SG
473,Dion Waiters,28,LAL,165,3.165389305,1.2,7.2,4.1,1.2,2.1,14.9,23.8,0.14,0.518,1.1,-5.1,-0.1,0.2,-2.2,-0.5,1.3,SG
474,DaQuan Jeffries,22,SAC,141,2.21660788,2.3,11.9,7,1.3,0.6,7.1,13.7,0.045,0.586,3.7,-3.5,-0.1,0.1,1.6,0.2,1.2,SG
475,Keita Bates-Diop,24,DEN,98,1.981061728,4.6,15.2,9.9,1,3.8,0,15.7,0.085,0.571,-0.6,-6.1,-0.1,0.2,0.9,0.2,1.1,SF
476,Bol Bol,20,DEN,87,2.379654321,6.5,18.4,12.5,1.2,6.4,9.8,21.2,0.236,0.617,4.9,-0.6,0,0.2,-0.3,-0.1,1.1,SF
477,Amir Coffey,22,LAC,159,2.471439837,2.6,7.7,5.2,1.5,1.1,12.3,17.6,0.12,0.493,0.7,-3.7,-0.1,0.3,-1.2,-0.3,1.1,SG
478,Tacko Fall,24,BOS,33,1.670600522,3.4,46.1,25.2,1.7,12.8,5.8,23.7,0.164,0.751,8.1,4.3,0.1,0.1,5.3,0.5,1.1,C
479,Malcolm Miller,26,TOR,162,2.141382534,1.3,9.1,5.3,1.4,1,8.9,9.6,0.11,0.538,2.9,-5,-0.1,0.3,0.5,0.1,1.1,SF
480,Johnathan Motley,24,LAC,41,1.747256637,7.7,17.3,12.6,3.5,0,32.9,23.5,0.217,0.774,11.5,7.1,0.1,0.1,6.5,0.4,1.1,PF
481,Mychal Mulder,25,GSW,204,2.584564471,1.5,10.7,5.9,0.4,0.4,5.8,16.2,0.065,0.533,3.4,-5.8,-0.2,0.2,-2.8,-0.4,1.1,SG
482,Yuta Watanabe,25,MEM,105,2.230831557,7.4,13.3,10.4,2.3,0.8,6.4,15.7,0.051,0.48,2.8,-2.2,0,0.2,-0.9,-0.1,1.1,SG
483,Melvin Frazier,23,ORL,126,2.234854586,1.7,6.8,4.3,3.5,1.3,3.4,14,0.123,0.559,4.3,-3.2,0,0.1,-1.6,-0.2,1,SG
484,Mfiondu Kabengele,22,LAC,64,1.719578947,1.6,15.9,8.9,1.5,2.7,4.9,23.7,0.055,0.614,4,-0.4,0,0.1,3.2,0.3,1,C
485,Dean Wade,23,CLE,71,1.907238095,4.3,25,14.3,1.4,5.1,4,9.9,0.182,0.744,5.7,-1.3,0,0,2.3,0,1,PF
486,Talen Horton-Tucker,19,LAL,81,1.863959698,2.5,6.7,4.5,4.8,1.1,10.5,19.7,0.159,0.535,4.9,-1.3,0,0.1,-1.2,-0.1,0.9,SG
487,Romeo Langford,20,BOS,370,4.279648352,4.6,7.6,6.2,1.2,2.3,4.5,11.8,0.108,0.434,1.6,-2.2,0,1.1,-2.3,-2.5,0.9,SG
488,Jordan McRae,28,DEN,32,0.968762887,3.6,14.3,8.9,3.1,2.9,15.6,10.5,0,0.58,9.4,3.9,0,0.1,8.1,0.6,0.8,SG
489,Miye Oni,22,UTA,109,1.972374269,4.9,11.5,8.3,1.7,1.6,5.1,15.3,0.105,0.512,2.6,-4.5,-0.1,0.3,-1.4,-0.4,0.8,SG
490,Rayjon Tucker,22,UTA,161,2.227289157,2,11,6.6,0.3,0.5,4.4,16.6,0.131,0.584,-0.7,-7.8,-0.2,0.5,-1.2,-0.6,0.8,SG
491,Oshae Brissett,21,TOR,135,1.945722772,7.3,13.2,10.3,1.4,0.6,7,15,0.148,0.458,0.8,-7.1,-0.2,0.3,-1.8,-0.5,0.7,SF
