,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
95,Andre Iguodala,36,MIA,188,3.8546225165562915,2.6,12.6,7.9,2.4,4.1,10.0,8.9,0.188,0.613,7.7,7.5,0.4,0.1,2.6,0.2,2.0,SG
96,Ersan İlyasova,32,MIL,23,0.4359676113360324,0.0,19.0,9.3,4.3,0.0,0.0,20.4,0.092,0.455,-3.9,2.7,0.0,0.0,-2.9,-0.0,0.2,PF
97,Joe Ingles,32,UTA,234,4.418327683615819,0.5,11.3,6.0,0.9,0.4,19.5,12.1,0.066,0.565,4.9,-2.9,-0.1,0.0,2.0,0.1,2.3,SF
98,Wesley Iwundu,25,ORL,76,1.423,1.3,14.2,7.4,1.9,2.7,7.6,14.9,0.113,0.446,1.8,-27.2,-0.5,0.0,-4.9,-0.0,0.7,SF
99,Justin Jackson,24,DAL,16,0.14523711340206183,0.0,20.7,10.2,0.0,0.0,0.0,20.9,0.0,0.258,-15.2,-32.8,-0.1,0.0,-13.6,-0.0,0.1,PF
100,Reggie Jackson,29,LAC,165,2.6614782608695653,1.4,12.4,7.1,0.6,0.6,8.8,13.4,0.098,0.641,3.6,16.5,0.8,0.0,2.4,0.1,1.4,PG
101,LeBron James,35,LAL,278,14.459072763028516,2.0,28.9,15.5,1.9,3.4,43.0,30.9,0.189,0.679,15.8,13.4,1.1,0.1,4.5,0.3,7.4,PG
103,B.J. Johnson,24,ORL,4,0.18600000000000003,0.0,54.1,25.7,0.0,0.0,0.0,21.3,0.0,0.75,-4.8,-33.8,-0.0,0.0,3.1,0.0,0.1,SF
104,Stanley Johnson,23,TOR,20,0.6874545454545455,5.2,16.7,10.8,0.0,0.0,53.2,27.2,0.08,0.568,10.4,18.3,0.1,0.0,3.6,0.0,0.3,PF
105,Tyler Johnson,27,BRK,93,1.7265290102389077,0.0,8.2,3.8,0.0,1.0,18.3,22.1,0.06,0.587,4.7,-39.1,-0.9,0.0,-3.8,-0.0,0.9,SG
106,Nikola Jokić,24,DEN,408,14.13052773925104,5.0,24.4,14.3,0.8,1.7,27.1,29.5,0.125,0.613,10.8,21.6,2.4,0.1,0.8,0.0,7.1,C
107,Derrick Jones Jr.,22,MIA,56,1.8817704918032785,4.3,7.7,6.1,4.5,6.8,16.2,10.6,0.076,0.697,13.0,12.8,0.2,0.0,9.5,0.2,1.0,SF
108,Enes Kanter,27,BOS,68,1.3170588235294118,21.0,19.7,20.3,0.0,0.0,12.2,20.0,0.099,0.478,2.4,4.5,0.1,0.0,1.2,0.0,0.7,C
109,Michael Kidd-Gilchrist,26,DAL,55,0.583576923076923,3.9,8.0,6.0,0.9,1.6,6.9,13.8,0.057,0.421,0.7,-16.9,-0.2,0.0,-5.4,-0.0,0.3,SF
110,Maxi Kleber,28,DAL,203,3.254673893405601,5.3,15.8,10.5,0.5,3.0,5.5,10.2,0.083,0.452,4.6,-13.0,-0.6,0.0,-3.8,-0.1,1.6,C
111,Furkan Korkmaz,22,PHI,40,0.34756521739130436,0.0,16.6,8.1,1.3,0.0,7.2,12.2,0.179,0.163,-3.4,-60.8,-0.6,0.0,-16.2,-0.0,0.2,SG
112,Kyle Korver,38,MIL,119,1.8991437699680516,0.9,6.4,3.6,1.2,0.9,1.3,19.9,0.091,0.619,2.1,8.7,0.3,0.1,0.4,0.0,0.9,SF
113,Rodions Kurucs,21,BRK,58,1.1476015325670499,4.9,18.7,11.3,0.8,3.3,9.1,17.0,0.126,0.527,3.8,-40.0,-0.6,0.0,-5.6,-0.0,0.6,PF
114,Kyle Kuzma,24,LAL,195,3.7017000479156685,5.2,13.7,9.5,1.0,1.9,3.6,19.4,0.057,0.533,1.8,-0.6,0.1,0.0,0.4,0.0,1.9,PF
115,Romeo Langford,20,BOS,44,0.2678235294117647,0.0,7.0,3.8,1.1,0.0,3.3,13.2,0.155,0.46,-3.0,-0.9,0.0,0.0,-5.3,-0.1,0.1,SG
116,Vic Law,24,ORL,4,0.336,0.0,54.1,25.7,0.0,0.0,47.6,10.7,0.0,1.5,23.1,-5.9,-0.0,0.0,34.5,0.0,0.2,SF
117,Kawhi Leonard,28,LAC,386,17.05309698996656,5.9,21.8,14.1,2.9,2.2,24.1,29.8,0.098,0.61,12.4,25.3,2.6,0.1,5.1,0.5,8.8,SF
118,Meyers Leonard,27,MIA,9,0.08,0.0,0.0,0.0,0.0,0.0,28.9,10.0,0.0,0.0,-13.8,-14.0,-0.0,0.0,-10.6,-0.0,0.0,C
119,Caris LeVert,25,BRK,140,4.914142857142857,5.4,12.4,8.6,1.7,0.7,48.3,28.5,0.134,0.482,9.3,-34.5,-1.2,0.0,-4.0,-0.0,2.5,SG
120,Damian Lillard,29,POR,143,3.7285868568517575,0.7,9.6,5.2,0.7,0.6,19.8,27.0,0.151,0.618,5.4,-24.1,-0.8,0.0,-0.7,-0.0,1.9,PG
121,Brook Lopez,31,MIL,328,8.205798045602606,6.1,12.0,9.0,1.5,4.3,2.4,17.7,0.089,0.643,7.5,14.1,1.3,0.1,3.5,0.5,4.4,C
122,Robin Lopez,31,MIL,21,0.29200000000000004,0.0,20.8,10.2,0.0,0.0,0.0,8.2,0.0,0.75,-2.5,4.1,0.0,0.0,7.2,0.1,0.2,C
123,Kyle Lowry,33,TOR,372,11.735905077825976,2.0,17.6,9.6,2.5,2.3,24.4,21.4,0.138,0.571,9.8,17.7,1.8,0.1,2.9,0.3,6.0,PG
124,Timothé Luwawu-Cabarrot,24,BRK,131,1.8344243932794029,0.7,11.6,5.8,1.1,0.0,7.6,22.7,0.111,0.498,1.8,-42.0,-1.3,0.0,-7.2,-0.0,0.9,SG
125,Terance Mann,23,LAC,24,0.292,0.0,26.9,13.9,2.1,0.0,5.2,12.7,0.286,0.4,-3.5,9.4,0.1,0.0,-8.4,-0.0,0.1,SG
126,Boban Marjanović,31,DAL,82,2.729988221436985,7.9,39.1,23.3,0.0,2.1,9.3,19.4,0.081,0.604,2.2,-15.4,-0.3,0.0,0.5,0.0,1.4,C
127,Jeremiah Martin,23,BRK,27,0.5434459833795015,0.0,12.1,5.6,0.0,3.6,24.4,25.1,0.122,0.416,-1.4,-45.2,-0.3,0.0,-8.7,-0.0,0.3,PG
128,Frank Mason III,25,MIL,2,0.06,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.416,-18.4,-11.8,-0.0,0.0,23.9,0.0,0.0,PG
129,Wesley Matthews,33,MIL,246,3.572599348534202,2.6,5.3,3.9,1.8,1.8,5.0,12.0,0.102,0.586,5.8,12.4,0.9,0.1,1.1,0.1,1.8,SG
130,CJ McCollum,28,POR,196,4.788260581523739,2.7,12.9,7.8,1.5,0.9,14.6,26.3,0.121,0.534,4.6,-24.9,-1.1,0.0,-2.8,-0.0,2.4,SG
131,T.J. McConnell,27,IND,28,0.5783603603603603,0.0,25.7,12.5,0.0,0.0,38.3,17.9,0.184,0.394,-2.4,-51.6,-0.4,0.0,-6.3,-0.0,0.3,PG
132,Doug McDermott,28,IND,54,0.29733333333333334,0.0,6.7,3.3,0.9,0.0,2.7,13.6,0.062,0.333,-3.3,-52.5,-0.7,0.0,-12.0,-0.0,0.1,PF
